File system;File system;Creator;Year of introduction;Original operating system;File system;Stores file owner;POSIX file permissions;Creation timestamps;Last access/ read timestamps;Last metadata change timestamps;Last archive timestamps;Access control lists;Security/ MAC labels;Extended attributes/ Alternate data streams/ forks;Metadata checksum/ ECC;File system;Hard links;Symbolic links;Block journaling;Metadata-only journaling;Case-sensitive;Case-preserving;File Change Log;XIP;Resident files (inline data);File system;Internal snapshotting / branching;Encryption;Deduplication;Data checksum/ ECC;Persistent Cache;Multiple Devices;Compression;Self-healing(aw);File system;Host OS;Offline grow;Online grow;Offline shrink;Online shrink;Add and remove physical volumes;File system;Sparse files;Block suballocation;Tail packing;Extents;Variable file block size(bj);Allocate-on-flush;Copy on write;Trim support;File system;DOS;Linux;macOS;Windows 9x;Windows NT;classic Mac OS;FreeBSD;OS/2;BeOS;Minix;Solaris;z/OS;Android(63);File system;Maximum filename length;Allowable characters in directory entries(bx);Maximum pathname length;Maximum file size;Maximum volume size(by);Max number of files
EROFS;EROFS;Huawei[7];2018;Android;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
exFAT;exFAT;Microsoft;2006;Windows CE 6.0;exFAT;No;No;Yes;Yes;No;No;No;No;No;No;exFAT;No;No;No;Partial (with TexFAT only);No;Yes;No;No;No;exFAT;No;No;No;No;No;No;No;No;exFAT;misc.;No;No;No;No;No;exFAT;No;No;No;Partial (only if the file fits into one contiguous block range);No;No;No;Yes (Linux);exFAT;No;Yes (since 5.4,[66] available as a kernel module or FUSE driver for earlier versions);Yes;No;Yes (installable drivers for Windows XP, 2003. Included with Windows Vista SP1 and newer.);No;Yes (available as a FUSE driver);No;No;No;Yes (available as a FUSE driver);No;With kernel 5.10;exFAT;255 UTF-16 characters;?;32,760 Unicode characters with each path component no more than 255 characters[93];16 EiB (18.44 EB)[93];64 ZiB (75.55 ZB) (276 bytes);?
ext;ext;Remy Card;1992;Linux;ext;Yes;Yes;No;No;No;No;No;No;No;No;ext;Yes;Yes;No;No;Yes;Yes;No;No;?;ext;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ext;Yes;No;No;No;No;No;No;No;ext;No;Yes - until 2.1.20;No;No;No;No;No;No;No;No;No;No;No;ext;255 bytes;Any byte except NUL[bz];No limit defined[ca];2 GiB (2.147 GB);2 GiB (2.147 GB);?
ext2;ext2;Remy Card;1993;Linux, Hurd;ext2;Yes;Yes;No;Yes;Yes;No;Yes[l];Yes[l];Yes;No;ext2;Yes;Yes;No;No;Yes;Yes;No;Yes[ak];?;ext2;No;No;No;No;No;No;No;No;ext2;Linux;Yes;No;Yes;No;No;ext2;Yes;No(bm);No;No;No;No;No;Yes;ext2;No;Yes;Needs Paragon ExtFS [71] or ext2fsx;Partial (read-only, with explore2fs)[72];Needs Paragon ExtFS [73] or partial with Ext2 IFS[74] or ext2fsd[75];No;Yes;No;Yes;?;?;?;No;ext2;255 bytes;Any byte except NUL, /[bz];No limit defined[ca];16 GiB (17.17 GB) to 2 TiB (2.199 TB)[by];2 TiB (2.199 TB) to 32 TiB (35.18 TB);?
ext3;ext3;Stephen Tweedie;1999;Linux;ext3;Yes;Yes;No;Yes;Yes;No;Yes[l];Yes[l];Yes;No;ext3;Yes;Yes;Yes (2001) [al];Yes (2001);Yes;Yes;No;Yes;?;ext3;No;No;No;No;No;No;No;No;ext3;Linux;Yes;Yes;Yes;No;No;ext3;Yes;No(bm);No;No;No;No;No;Yes;ext3;No;Yes;Needs Paragon ExtFS [71] or partial with ext2fsx (journal not updated on writing);Partial (read-only, with explore2fs)[72];Needs Paragon ExtFS [73] or partial with Ext2 IFS[74] or ext2fsd[75];Partial (read only)[citation needed];Yes[76];No;with addon;?;Yes;?;Yes;ext3;255 bytes;Any byte except NUL, /[bz];No limit defined[ca];16 GiB (17.17 GB) to 2 TiB (2.199 TB)[by];2 TiB (2.199 TB) to 32 TiB (35.18 TB);?
ext4;ext4;various;2006;Linux;ext4;Yes;Yes;Yes;Yes;Yes;No;Yes[l];Yes[l];Yes;Partial[m];ext4;Yes;Yes;Yes[al];Yes;Yes, optional [24];Yes;No;Yes;Yes (approximately 160 bytes)[25];ext4;No;Yes, experimental [31];No;No[32];No;No;No;No;ext4;Linux;Yes;Yes;Yes;No;No;ext4;Yes;No(bm);No;Yes;No;Yes;No;Yes;ext4;No;Yes;Needs Paragon ExtFS [71];No;Needs Paragon ExtFS [73] or partial with Ext2 IFS[74] or ext2fsd[75];?;Yes since FreeBSD 12.0[76];No;with addon;?;?;?;Yes;ext4;255 bytes[94];Any byte except NUL, /[bz];No limit defined[ca];16 GiB (17.17 GB) to 16 TiB (17.59 TB)[by][95];1 EiB (1.152 EB);232 (static inode limit specified at creation)
F2FS;F2FS;Samsung Electronics;2012;Linux;F2FS;Yes;Yes;Yes;Yes;Yes;No;Yes[l];Yes[l];Yes;No;F2FS;Yes;Yes;Yes[aj];No;Yes;Yes;No;No;?;F2FS;No;Yes, experimental [33];No;No;No;No;Yes;No;F2FS;Linux;Yes;No;No;No;No;F2FS;Yes;No;No;Partial(bn);No;Yes;Yes;Yes(60);F2FS;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;F2FS;255 bytes;Any byte except NUL, /[bz];No limit defined[ca];4,228,213,756 KiB (4.329 TB);16 TiB (17.59 TB);?
FAT (8-bit);FAT (8-bit);Microsoft (Marc McDonald) for NCR;1977;Microsoft Standalone Disk BASIC-80 (later Microsoft Standalone Disk BASIC-86);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;FAT (8-bit);6.3 (binary files) / 9 characters (ASCII files);ASCII (0x00 and 0xFF not allowed in first character);No directory hierarchy;?;?;?
FAT12;FAT12;Seattle Computer Products (Tim Paterson);1980;QDOS/86-DOS (later IBM PC DOS 1.0);FAT12;No;No;Yes;Yes;No[d];No;No;No;No[e];No;FAT12;No;No;No;Partial (with TFAT12 only);No;Partial (with VFAT LFNs only);No;No;No;FAT12;No;No;No;No;No;No;Partial[ax];No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;FAT12;Partial (only inside of compressed volumes)(56);Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes(29));No;Partial (only inside of compressed volumes)(57);No;No;No;Yes (Linux);FAT12;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial (via dosdir, dosread, doswrite);Yes;?;Yes;FAT12;8.3 (255 UCS-2 characters with LFN)[cc];"SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, "" * / : < > ? \ | [bx][bz]";No limit defined[ca];32 MiB (33.55 MB) (4 GiB (4.294 GB))[cd];1 MiB (1.048 MB) to 32 MiB (33.55 MB);?
FAT16;FAT16;IBM, Microsoft;1984;PC DOS 3.0, MS-DOS 3.0;FAT16;No;No;Yes;Yes;No[d];No;No;No;No[e];No;FAT16;No;No;No;Partial (with TFAT16 only);No;Partial (with VFAT LFNs only);No;No;No;FAT16;No;No;No;No;No;No;Partial[ax];No;FAT16;misc.;Yes[bi];No;Yes[bi];No;No;FAT16;Partial (only inside of compressed volumes)(56);Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes(29));No;Partial (only inside of compressed volumes)(57);No;No;No;Yes (Linux);FAT16;Yes (FAT16 from DOS 3.0, FAT16B from DOS 3.31, FAT16X from DOS 7.0);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial (via dosdir, dosread, doswrite, not FAT16X);Yes;?;Yes;FAT16;8.3 (255 UCS-2 characters with LFN)[cc];"SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, "" * / : < > ? \ | [bx][bz]";No limit defined[ca];32 MiB (33.55 MB) (4 GiB (4.294 GB))[cd];1 MiB (1.048 MB) to 32 MiB (33.55 MB);?
FAT16B;FAT16B;Compaq;1987;Compaq MS-DOS 3.31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;FAT16B;No;No;No;Partial (with TFAT16 only);No;Partial (with VFAT LFNs only);No;No;No;FAT16B;No;No;No;No;No;No;Partial[ax];No;FAT16B;misc.;Yes[bi];No;Yes[bi];No;No;FAT16B;Partial (only inside of compressed volumes)(56);Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes(29));No;Partial (only inside of compressed volumes)(57);No;No;No;Yes (Linux);FAT16B;Yes (FAT16 from DOS 3.0, FAT16B from DOS 3.31, FAT16X from DOS 7.0);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial (via dosdir, dosread, doswrite, not FAT16X);Yes;?;Yes;FAT16B;8.3 (255 UCS-2 characters with LFN)[cc];"SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, "" * / : < > ? \ | [bx][cc][bz]";No limit defined[ca];2 (4) GiB[cd] (2.147 GB);16 MiB (16.77 MB) to 2 (4) GiB (2.147 GB);?
